,Unnamed: 0,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,song_name,artist_name,merge_index,song_lyric
10,11,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,callaita,bad-bunny,bad-bunny_callaita,"Se acostó temprano mañana hay que estudiar, eh
Pero llamó la amiga diciendo pa' hangear, eh
Tiene un culito ahí que lo acabó de testear, eh
Pero en bajita, ella no es de frentear

Ella es callaita'
Pero pal' sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida, como es

Ella es callaita'
Pero pal' sexo es atrevida, yo sé
Marihuana y bebida
Gozándose la vida, como es

Ella no era así, ella no era así
No sé quién la dañó
Ella no era así, ella no era así
No sé quién la dañó, pero

Ahora enrola
Y lo prende
Es panita
Del que vende, ey

Nena mala de repente
No sé si me miente, pero
Sé que tiene más de veinte
Los shots de tequila ni los siente
Ahora ve la vida diferente
Buena, pero le gusta un delincuente

...

******* This Lyrics is NOT for Commercial use *******"
11,12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,loco-contigo,dj-snake,dj-snake_loco-contigo,"Uh-uh, hu-uh, hu, hu
Uh, hu-uh, hu, hu
Uh-uh, hu-uh, hu, hu
Uh, hu-uh, hu, hu

Tú me tienes loco, loco contigo
Yo trato y trato, pero baby, no te olvido
Tú me tienes loco, loco contigo (Come on)
Yo trato y trato, pero baby, aquí yo sigo (Okay, okay)

Ma-Mam-Mami, tú ere' una champion
Rum-pum-pum-pum-pum con un booty fuera de lugar (¡Pra!)
Una cintura chiquita, mata la cancha
Tú está' fuera 'e lo normal (Eh)

Tú lo bate' como la avena de abuela
Hay muchas mujere' pero tú gana' por pela
Enseñando mucho, y todo por fuera
Tu diseñador no quiso gastar en la tela

Oh, mama, tú ere' la fama
Estás conmigo y te va' mañana
Cuando lo mueves todo me sana'
...

******* This Lyrics is NOT for Commercial use *******"
12,13,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,someone-you-loved,lewis-capaldi,lewis-capaldi_someone-you-loved,"I'm going under and this time I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to heal, somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under and this time I fear there's no one to turn to
...

******* This Lyrics is NOT for Commercial use *******"
13,14,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87,otro-trago---remix,sech,sech_otro-trago---remix,"Sigue aquí tomándose otro tra-
(This is the remix)

La vida para ti no ha sido fácil
Ha sido, en el amor, muy demasia'o difícil
Hay algo en él que ya no te complace
Por eso sale y hace lo que hace

La vida es una y el tiempo no va a parar
Te lo digo porque he visto como se pierde amando
Bebé, yo creo el tiempo se está acabando

Te cambió siendo mejor que ella
Por mujeres y un par de botella' (Un par de botella')
Por amigos que no son amigos en verdá'
Porque sé que te van a escribir cuando él se va
(Everybody go to the disco)

Y ahora a lo oscuro y sin disimulo
Olvidando la' pena' la pillé
Ahora hace lo que quiere cuando quiere
Y si no quiere, eres otro que se jode también

Cuando el DJ pone la música
Ella baila como nunca (Real hasta la muerte, baby)
Y ahora a lo oscuro y sin disimulo
Olvidando la' pena' la pillé

Cuando el DJ pone la música
Ella baila como nunca (Perrea)
Ahora hace lo que quiere cuando quiere
Y si no quiere, eres otro que se jode también

La dejaron sola y rompe con la batidora
Un perreo sin censura, por un hombre ella no llora (Ella no llora)
No confía en nadie, nadie
Hoy se bebe y pa' la calle, calle

Ella quiere beber, ella quiere bailar
Y quiere fumar y se va a emborrachar
Ya ella no ama y no llama, y tampoco reclama
...

******* This Lyrics is NOT for Commercial use *******"
14,15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,money-in-the-grave,drake,drake_money-in-the-grave,"Yeah, okay
'Lil CC, on the beat, hm
Yeah, yeah
I mean, where the fuck should I really even start?
I got hoes that I'm keeping in the dark
I got my niggas 'cross the street living large
Thinking back to the fact that they dead
Thought my raps wasn't facts 'til they sat with the bars
I got two phones, one need a charge
Yeah, they twins, I could tell they ass apart
I got big packs coming on the way
I got big stacks coming out the safe
I got Lil Max with me, he the wave
It's a big gap between us in the game
In the next life, I'm tryna stay paid
When I die, put my money in the grave
When I die, put my money in the grave
I really gotta put a couple niggas in they place
Really just lapped every nigga in the race
I really might tat, ""Realest Nigga"" on my face
Lil CC, let it slap with the bass
I used to save hoes with a mask and a cape
...

******* This Lyrics is NOT for Commercial use *******"
15,16,No Guidance (feat. Drake),Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,no-guidance,chris-brown,chris-brown_no-guidance,"Before I die I'm tryna f- you, baby
Hopefully, we don't have no babies
I don't even wanna go back home
Hopefully, I don't leave you on your own

Ayy
Trips that you plan for the next whole week
Bands too long for a n- so cheap
And your flex OD, and your sex OD
You got it, girl, you got it (Ayy)
You got it, girl, you got (Yeah)

Pretty lil' thing, you got a bag and now you wildin'
You just took it off the lot, no mileage
Way they hittin' you, the DM lookin' violent
Talkin' wild, you come around and now they silent

Flew the coop at 17, no guidance
You be stayin' low but you know what the vibes is
Ain't never got you nowhere bein' modest
Poppin' shit but only 'cause you know you're poppin', yeah

You got it, girl, you got it (Ayy)
You got it, girl, you got it

Lil' baby in her bag, in her Birkin
No nine to five put the work in
Flaws and all, I love 'em all, to me, you're perfect
Baby girl, you got it, girl, you got it, girl (Oh-oh)
You got it, girl, you got it, girl (Ooh)
...

******* This Lyrics is NOT for Commercial use *******"
16,17,LA CANCIÓN,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,la-canción,j-balvin,j-balvin_la-canción,ERROR
17,18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,48,76,-6,7,91,158,56,5,91,sunflower---spider-man:-into-the-spider-verse,post-malone,post-malone_sunflower---spider-man:-into-the-spider-verse,"Ayy, ayy, ayy, ayy (ooh)
Ooh, ooh, ooh, oooh (ooh)
Ayy, ayy
Ooh, ooh, ooh, oooh

Needless to say, I keep her in check
She was all bad-bad, nevertheless (yeah)
Callin' it quits now, baby, I'm a wreck (wreck)
Crash at my place, baby, you're a wreck (wreck)

Needless to say, I'm keeping her in check
She was all bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck

Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
Lookin' at you sideways, party on tilt
...

******* This Lyrics is NOT for Commercial use *******"
18,19,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88,lalala,y2k,y2k_lalala,"Yeah this is the remix,
We aint forgot the melody,
La, la, la la la la

When I popped off, then your girl gave me just a little bit of lockjaw
Baby so cold, he from the north, he from the Canada
Bankroll so low, I got nothing else that I can withdraw
Ran out the door
I shine my wrist, it go like ye

Ya, you watching this flame,
Young, full of fire and I'm on game, (I'm on game)
Eh, you cannot blame me,
Seeing your bitch on fire she amazing, (She amazin man)
Watch as I role up,
Icy drippin with the saucy dippin with the
Fire I'm spitin and the flow is sizzlin on point
When I fire, it always be precision
Yeah, your hearing me get it again
I'm kinda spittin fire to the rhythms they're written in
...

******* This Lyrics is NOT for Commercial use *******"
19,20,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91,truth-hurts,lizzo,lizzo_truth-hurts,ERROR
20,21,Piece Of Your Heart,MEDUZA,pop house,124,74,68,-7,7,63,153,4,3,91,piece-of-your-heart,meduza,meduza_piece-of-your-heart,"Show me a piece of your heart, a piece of your love
I'm calling up to getting down down down
The way that we touch is never enough
I'm turning you up to gettin down down down
Show me a piece of your heart, a piece of your love
I'm calling up to getting down down down
The way that we touch is never enough
I'm turning you up to getting down down down
What? Sorry, just quickly
What if it's da, da, da, uh, uh
Da, da, da, uh, uh
Down, down, down

Uh, da, da, da, uh, uh
Da, da, da, uh, uh
Da, da, da, uh, uh
Da, da, da
Uh, da, da, da, uh, uh
...

******* This Lyrics is NOT for Commercial use *******"
21,22,Panini,Lil Nas X,country rap,154,59,70,-6,12,48,115,34,8,91,panini,lil-nas-x,lil-nas-x_panini,"D-D-Daytrip took it to ten (hey)

Ayy, Panini, don't you be a meanie
Thought you wanted me to go up
Why you tryna keep me teeny? I
It's a dream, he wished it on a genie
I got fans finally, ain't you wanting them to see me? I

I thought you want this for my life, for my life
Said you wanted to see me thrive, you lied

...

******* This Lyrics is NOT for Commercial use *******"
22,23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,92,79,81,-4,9,58,309,14,7,83,no-me-conoce---remix,jhay-cortez,jhay-cortez_no-me-conoce---remix,"(Pero en mi cama se volvió un vicio como la cinco, doce)
(Yeh-yeh-yeh-yeh, ¿me sigue'?)

Nunca se deja ver (Nunca se deja ver)
No sabe disimular (No sabe disimular)
Tiene lo suyo y le va bien
Pero, de noche conmigo, le gusta portarse mal

Llega y lo que quiere es pecar, eh
Está puesta pa' bellaquear, eh (La presión)
Yo no la paro y, a veces, mira raro y

Se hace la que no me conoce (La que no me conoce)
Pero, en mi cama, se volvió un vicio como la cinco, doce (Como la cinco, doce)
Me la como entera y nadie se entera
Un par de amiga' (Un par de amiga')
To'as solteras siempre la velan pa' que ella siga (Siga, ah, ah, ah)

Se hace la que no me conoce (La que no me conoce)
Pero, en mi cama, se volvió un vicio como la cinco, doce (Como la cinco, doce)
Me la como entera y nadie se entera, un par de amiga' (¿Me sigue'?)
To'as solteras siempre la velan pa' que ella siga

Eh, si las miradas mataran, la tuya me hizo el amor
Se ve que tú estás a vapor
Ella mata con traje y cuando se viste sport
Tiene el booty XL, pero usa los pantie' small

Una pa' aguantar presión y la tienen bloquia', eh
Un par de psycho, estalkia'
No brega en la calle, pero está backia'
La baby está muy dura, pa' mí que está hackia', eh

Chiquitita pero grandota
En la uni', buenas nota', eh
Niña buena, se le nota (Eh)
Pero le explota la nota y

Se hace la que no me conoce (La que no me conoce)
Pero, en mi cama, se lo metí en cuatro y en to'ita' las pose' (To'ita' las pose')
...

******* This Lyrics is NOT for Commercial use *******"
23,24,Soltera - Remix,Lunay,latin,92,78,80,-4,44,80,266,36,4,91,soltera---remix,lunay,lunay_soltera---remix,"Épico
Sal de enmedio, ok
Fuego

Me dijeron que te acabas de dejar
Que el bobo aquel te engañó
Que ya no crees en el amor
Que andas suelta igual que yo

No sé pero
La noche está pa' desquitarno'
Otro shot vamo' a darno'

Que yo también quiero joder, vacilar
Trae a to'a tus amigas que yo las voy a poner a fumar
Dale hasta abajo, pa'ta bajo sin parar, yeh

Porque estar soltera está de moda
Por eso ella no se enamora
Estar soltera está de moda
Por eso no va a cambiar

Estar soltera está de moda
Por eso ella no se enamora
Estar soltera está de moda (D-D-DY)
Por eso no va a cambiar

Ella 'tá soltera, su' amiga' revuelta'
Va pa' la disco y a nadie le rinde cuenta'
'Tá soltera (Fuego), su' amiga' revuelta'
Va pa' la disco ya nadie le rinde cuenta'

Ella vacila y vive en la joda
No está lista pa' un trajecito blanco 'e la boda
Puede perriar con uno o como sea, ella baila sola
Batea pa' 500, siempre bota la bola

Po, ponme a prueba a ver que to'el peso se va a caer
La ola en decateo' la mano contra la pared
Pa' darle pal' piso, no pide permiso
Si está soltera sin compromiso
...

******* This Lyrics is NOT for Commercial use *******"
24,25,bad guy (with Justin Bieber),Billie Eilish,electropop,135,45,67,-11,12,68,195,25,30,89,bad-guy,billie-eilish,billie-eilish_bad-guy,ERROR
25,26,If I Can't Have You,Shawn Mendes,canadian pop,124,82,69,-4,13,87,191,49,6,70,if-i-cant-have-you,shawn-mendes,shawn-mendes_if-i-cant-have-you,ERROR
26,27,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83,dance-monkey,tones-and-i,tones-and-i_dance-monkey,"They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey I've been dancin' my whole life
...

******* This Lyrics is NOT for Commercial use *******"
27,28,It's You,Ali Gatie,canadian hip hop,96,46,73,-7,19,40,213,37,3,89,its-you,ali-gatie,ali-gatie_its-you,"If I'm ever gonna fall in love, I know it's gon' be you

It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you

Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me apart
I know how it starts, trust me, I've been broken before
Don't break me again, I am delicate
Please don't break my heart
Trust me, I've been broken before

I've been broken, yeah, I know how it feels
To be open and then find out your love isn't real
I'm still hurting, yeah, I'm hurting inside
I'm so scared to fall in love, but if it's you, then I'll try
...

******* This Lyrics is NOT for Commercial use *******"
28,29,Con Calma,Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6,91,con-calma,daddy-yankee,daddy-yankee_con-calma,"(Wep, wep, wep, wep)
(Wep, wep, wep, wep) D-D-D-D-Y
Play N' Skillz
Run!

¿Cómo te llamas, baby?
Desde que te vi supe que eras pa' mí
Dile a tus amigas que andamo' ready
Esto lo seguimo' en el after party

¿Cómo te llamas, baby?
Desde que te vi supe que eras pa' mí
Dile a tus amigas que andamo' ready (¡Sube!)
Esto lo seguimo' en el after party

Con calma, yo quiero ver cómo ella lo menea
Mueve ese poom-poom, girl
Es un asesina, cuando baila quiere que to' el mundo la vea
I like your poom-poom, girl (Sube, sube)

Con calma, yo quiero ver cómo ella lo menea
Mueve ese poom-poom, girl
Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea
I like your poom-poom, girl (¡Hey!)

Ya vi que estás solita, acompáñame
La noche es de nosotros, tú lo sabe' (You know)
Que ganas me dan-dan-dan
De guayarte, mami, ese ram-pam-pam, yeah

Esa criminal como lo mueve e' un delito (Oh)
...

******* This Lyrics is NOT for Commercial use *******"
29,30,QUE PRETENDES,J Balvin,latin,93,79,64,-4,36,94,222,3,25,89,que-pretendes,j-balvin,j-balvin_que-pretendes,"Uah
Uah, uah
Yeah, yeah, yeah, yeah (Uh-uh)

Ahora quiere' volver (Ahora quieres volver, yeah)
¿Por qué razón? Dime para qué (¿Para qué, para qué?)
Ya no te presto atención (Ninguna)
Desde hace tiempo le puse punto final (Sí)

¿Qué pretendes tú llamándome a esta hora? (Yeah, hora)
Esa actitud la conozco ya (Yeah-yeah-yeah)
Sabes qué hacer muy bien para envolverme (Envolverme)
Pero esta vez es muy tarde ya (Uah, oh-oh-oh)

Estas no son horas de llamar (No)
Al meno' que me lo quiera' mamar
Que quiera' prender, que quiera' quemar (Uh-huh)
Hablando claro, ya tú me cae' hasta mal (Ja)
Por ti me metí pastilla' y me fui de overflow Lamar (Woh)

Pero tú no ere' una Kardashian (No)
Contigo no me tiro, porque si no las retro se me embachan
De Snapchat te borré, de Facebook te borré
De Instagram te borré, de mi vida te borré (¡Plo!)

Y ahora quiere' volver (¡Nah!)
Nah, tú lo que quiere' e' joder (¡Wuh!)
...

******* This Lyrics is NOT for Commercial use *******"
30,31,Takeaway,The Chainsmokers,edm,85,51,29,-8,10,36,210,12,4,84,takeaway,the-chainsmokers,the-chainsmokers_takeaway,"Your heart for takeaway, yeah, yeah, yeah, yeah
Your heart for takeaway, yeah, yeah, yeah, yeah
Your heart for takeaway, yeah yeah, yeah yeah
Your heart for takeaway, yeah, yeah, yeah, yeah

Hey, hey, hey
Where do you think you're going?
It's so late, late, late
What's wrong?
I said, ""I can't stay, do I have to give a reason?
It's just me, me, me, it's what I want""

So how did we get here?
Three weeks now, we've been so caught up
Better if we do this on our own

Before I love you, nah, nah, nah
I'm gonna leave you, nah, nah, nah
Before I'm someone you leave behind
I'll break your heart so you don't break mine
Before I love you, nah, nah, nah
I'm gonna leave you, nah, nah, nah
Even if I'm not here to stay
...

******* This Lyrics is NOT for Commercial use *******"
31,32,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,7-rings,ariana-grande,ariana-grande_7-rings,"Yuh, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things, yuh
Been through some bad shit, I should be a sad bitch
Who would have thought it'd turn me to a savage?
Rather be tied up with cuffs and not strings
Write my own checks like I write what I sing, yuh

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it, yuh

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

...

******* This Lyrics is NOT for Commercial use *******"
32,33,0.958333333333333,Maluma,reggaeton,96,71,78,-5,9,68,176,22,28,89,0.958333333333333,maluma,maluma_0.958333333333333,ERROR
33,34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89,the-london,young-thug,young-thug_the-london,"Yeah...
Oh, oh (oh, oh)
Woah (woah...)
Woah, woah
You good, T-Minus?
Oh

You can meet me at the London (London)
If you find time, we can run one (run one)
Talk about some things, we can undo (undo)
You just send the pin, I can find you (you)
6'1"" on the money, 9'2"" (9'2"")
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah I knew

Yeah
Circumnavigate the globe, as the cash grows (grow)
Get a nigga whacked, like you get the grass mowed (mowed)
I'm talkin' slick, run 'em with the big slime, nigga (slime)
Could hit your bitch, you could never hit mine, nigga (mine)
In my DM, they electric slide, nigga (huh, slide)
No catfishing, this is not a fish fry, nigga
Never switch sides on my dog
Catch a contact, hit your right, go to Mars
Everybody singing

How you come up out your face and say I ain't the artist
Nigga, you done never heard
I left a flock of rappers dead and burned
...

******* This Lyrics is NOT for Commercial use *******"
34,35,Never Really Over,Katy Perry,dance pop,100,88,77,-5,32,39,224,19,6,89,never-really-over,katy-perry,katy-perry_never-really-over,"I'm losing my self control
Yeah, you're starting to trickle back in
But I don't wanna fall down the rabbit hole
Cross my heart I won't do it again

I tell myself, tell myself, tell myself, ""Draw the line""
And I do, I do
But once in a while I trip up and I cross the line
And I think of you

Two years, and just like that, my head still takes me back
Thought it was done but I guess it's never really over
Oh, we were such a mess, but wasn't it the best?
Thought it was done but I guess it's never really over

Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
...

******* This Lyrics is NOT for Commercial use *******"
35,36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,114,72,66,-7,14,32,164,18,6,89,summer-days,martin-garrix,martin-garrix_summer-days,"I got this feeling on a summer day
Knew it when I saw her face
I just thought that she could be the one

She looks good in the morning
And she don't even know it
I don't want you to go yet
Can we stay in the moment?

Don't look in the mirror, look into my eyes
When you see your reflection
You'll see what I like
Oh, you look good in the morning
And you don't even know it
I knew that

I got this feeling on a summer day
Knew it when I saw her face
I just thought that she could be the one
...

******* This Lyrics is NOT for Commercial use *******"
36,37,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91,otro-trago,sech,sech_otro-trago,"Sigue aquí tomándose otro trago
Su ex-novio con otra está (Ah-ah)
Los amigos subieron un estado (Ah-ah-ah)
Que hoy de farra se van

Te cambió siendo mejor que ella (No-no-no-no, oh-oh)
Por mujeres y un par de botella' (No-no-no-no, oh-oh)
Por amigos que no son amigos en verda' (En verda', Ice)
Porque sé que te van a escribir cuando él se va
(Everybody go to the discotheque)

Y ahora a lo oscuro y sin disimulo
Olvidando la' pena', la pillé (Ah)
Ahora hace lo que quiere, cuando quiere (Oh-oh)
Y si no quiere, serás otro que se jode también

Cuando el DJ pone la música (Eso e' así)
Ella baila como nunca (Pa' que sepa)
Y ahora a lo oscuro y sin disimulo (Oh-oh)
Olvidando la' pena', la pillé (Ra-ta-ta-tá)

Cuando el DJ pone la música
Ella baila como nunca (The Real Rondón)
Ahora hace lo que quiere, cuando quiere
Y si no quiere, serás otro que se jode también
(Stop that shit, nigga)

Ahora pa' ella los días son grise' (Eso e' así)
Porque su' mañana' no son felice' (¡Ah!)
Lo que eran beso', ahora son cicatrice' (Pa' que sepa)
Está soltera y pa' la calle dice (Ra-ta-ta-tá)

...

******* This Lyrics is NOT for Commercial use *******"
